id,name,index,type,gears,drive_types,torque,brand_id,concern_id
9664f1bd-0ffc-47ab-bb5a-56fc377e0ef7,JH3,,1,5,{1},,852caf6a-2391-4431-9919-47d2a058225f,
03373694-08e8-48e6-af55-bcad28288acc,JR5,,1,5,{1},,852caf6a-2391-4431-9919-47d2a058225f,
950a1a51-1eec-4707-9387-ec8ecaf0e502,AW50-40LE,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
7ffa4153-81c7-458e-9141-c1e139eebac8,AW50-40LM,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
54a3c33d-7311-4fd8-bff7-861e2d3ba347,AW50-40LN,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
25b47ff4-1106-44dd-b79b-5efc5964ad93,AW50-42LE,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
dfefd1da-ea28-416b-b18d-d98b7403e82a,AW60-40LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
5bab1d67-efd2-4582-8540-2365e91feada,AW60-40SN,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
661b1e89-d839-457a-8ece-473e8e88c226,AW60-41LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
ded747d1-e8af-48c6-b66e-a6f43ff22ab3,AW60-41SN,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
3ac967f6-c0b8-47cf-8ea6-2019343d85d8,AW70-40LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
1466780b-9d40-475f-89b2-530beef23df9,AW72-41LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
f539fd13-14b5-4260-91f0-45550998f43f,AW73-41LS,,2,4,{3},,2ea36124-2178-4c7d-b088-22819af17280,
f0168907-2234-4b32-8363-6583b6506dda,AW80-40LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
d5b7eacd-3488-4faa-bee3-83d5020c0ac8,AW80-40LS,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
1044babc-c26d-462d-9358-b90718362709,AW81-40LE,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
428e3695-b84f-4685-abb4-973f1f8d3f7e,AW81-40LS,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
ded42d41-1359-44a6-84a2-8cec44aa78e1,AW90-40LS,,2,4,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
3148ca84-efb2-4df0-9845-fc5e78e10b51,AW91-40LS,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
7f881860-bf92-443c-ba94-9514305c5e16,TS40-SN,,2,4,{1},,2ea36124-2178-4c7d-b088-22819af17280,
512430be-c071-4750-9347-3d946359c0de,AW55-50SN,,2,5,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
1fa9bfbe-0869-4d4c-8a1b-2048ec4aef16,AW55-51LE,,2,5,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
3682aa6a-8bb1-47d2-b1ff-d53af42af25c,AW55-51SN,,2,5,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
53d57357-c511-4dc4-90a2-9822cc94cfeb,AW95-50LS,,2,5,{1},,2ea36124-2178-4c7d-b088-22819af17280,
d6a60ea1-1f0b-4dfd-9a2e-9610f078030f,AW95-51LS,,2,5,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
fcdf8e74-9ded-44dd-9eb8-6dec1fcc2bbc,TM-60LS,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
17198263-7d5f-426d-9702-7cd2665db500,TF-60SN,,2,6,{1},,2ea36124-2178-4c7d-b088-22819af17280,
4908bd26-2630-456e-8b48-1c1e60f1cf68,TF-61SN,,2,6,{1},,2ea36124-2178-4c7d-b088-22819af17280,
11c48b22-0b9e-43c2-9148-6f642a7277c7,TF-62SN,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
ba2dc50b-9d62-4863-ab9a-177ba9ab3145,TF-70SC,,2,6,{1},,2ea36124-2178-4c7d-b088-22819af17280,
49ed55e0-7819-4dcf-9368-0fb6a2335003,TF-71SC,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
08c87405-bca7-41e4-9a51-96f102d5aac6,TF-72SC,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
1845e63e-afe8-488b-8444-ade69e11df33,TF-73SC,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
f483585a-4a89-43be-9713-f688244aa915,TF-80SC,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
9bc3dd35-1d3c-4570-9922-c4fe2904a4a3,TF-80SD,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
c20c4ccd-029d-4ae1-9cf5-402291a2f1b5,TF-81SC,,2,6,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
cdb688a2-752a-4e7b-a99d-fd36977bb0a9,TF-82SC,,2,6,{1},,2ea36124-2178-4c7d-b088-22819af17280,
afed0ce0-58c6-4644-8bdf-8bf4e5a4380a,TG-80LS,,2,8,{1},,2ea36124-2178-4c7d-b088-22819af17280,
e5e4d4a8-4372-4d24-a948-52c6d459ffc2,U880F,,2,8,{3},,2ea36124-2178-4c7d-b088-22819af17280,
0d2b3fa5-d3d4-4c1d-a47c-311f65a1e75c,TG-81SC,,2,8,"{1,3}",,2ea36124-2178-4c7d-b088-22819af17280,
e3f05fff-0759-41fe-8c34-165a3311ebeb,TG-81SD,,2,8,{3},,2ea36124-2178-4c7d-b088-22819af17280,
29d8f043-dae6-4253-91d7-5ba5d3d6a2c6,AW03-70LE,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
edc26bef-ac58-4a9c-99e5-e559b234c0b3,AW03-70LS,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
ea9bcb1b-9a19-4185-9f90-3b6f611300fa,AW03-71LE,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
bf856d19-8312-403c-b7ea-58f8a8bbe9cc,AW03-71LS,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
808c515e-72f0-4a44-80cd-b6b7c79355d6,AW03-72LE,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
a3284064-f82c-4aad-a5fa-20eb8f4ed526,AW03-72LS,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
87adf2b2-87ec-464a-915f-90cbd8825127,AW30-40LE,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
fe7622c0-8628-4970-ba2a-83fe40bec58b,AW30-40LS,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
687876e3-cc8f-42ec-9fe4-97214b8af15b,AW30-41LS,,2,4,{2},,2ea36124-2178-4c7d-b088-22819af17280,
5b8902b6-6cfd-4ee9-8518-12a955f13a97,AW 30-43LE,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
edbcfb71-c4f2-4970-ae76-bff88ede772d,AW31-80LE,,2,4,{3},,2ea36124-2178-4c7d-b088-22819af17280,
7a943b15-ec5b-4010-821e-31e37f7cfdb5,TW-40E,,2,4,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
f40abb92-9bbb-4acd-8e97-1e79e714a123,AW30-50LE,,2,5,{2},,2ea36124-2178-4c7d-b088-22819af17280,
2aac0603-97a3-4f81-97e4-90b0d43d52b7,AW35-50LS,,2,5,{2},,2ea36124-2178-4c7d-b088-22819af17280,
b479ddf4-1c86-4388-a2f3-b7b46e339154,AW35-51LS,,2,5,{2},,2ea36124-2178-4c7d-b088-22819af17280,
8c0f0c5e-8f52-487d-a2ba-a30b3b03a504,TB-50LS,,2,5,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
689d3d01-7c5b-47d0-887f-1e318725f33e,TB-60SN,,2,6,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
c30c849c-e75f-4117-b059-7977097df731,TB-61SN,,2,6,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
afb8958b-7e75-4fd4-ab48-cca5d0e56e08,TB-65SN,,2,6,{2},,2ea36124-2178-4c7d-b088-22819af17280,
de7be68e-e8de-4fd6-9b50-55b69e7c6668,AC60F,,2,6,{3},,2ea36124-2178-4c7d-b088-22819af17280,
daac354e-e58e-4a0b-852c-842e491528a2,TB-68LS,,2,6,"{2,3}",,2ea36124-2178-4c7d-b088-22819af17280,
fcf78c25-733b-49be-84e3-58163aa31e24,TR-60SN,,2,6,{3},,2ea36124-2178-4c7d-b088-22819af17280,
